"Proven Winners Name","Type of Plant","Common Name","Exposure","Mature Size","Attracts","Resists","Habit","Bloom times","Uses","Spread","Tolerance","Duration","Notes"
"Supertunia® Raspberry Blast®","Petunia hybrid","","part sun to sun","6 - 10 inches","butterflies, hummingbirds","","trailing","planting to hard frost","container, landscape","","heat tolerant, drought tolerant","annual","Self-cleaning no deadheading necessary, this is not necessarily true of all Petunias."
"Decadence® 'Vanilla Cream'","Baptisia ","False Indigo","part sun to sun","30 - 36 inches","butterflies","deer","clump forming","early summer, late spring","border, plant, cut, flower, dried, flower, landscape, specimen, or, focal, point","42 inches","drought tolerant","perennial","Grows best in full sun and average to poor, well-drained soil."
"Temari® Candy Stripe","Verbena hybrid","","sun","4 - 10 inches","","","trailing","planting to hard frost","container, landscape","","","annual",""
"Beach Cities Malibu™","Lantana hybrid","","sun","18 - 36 inches","","","mounded","planting to frost","container, landscape","12 - 18 inches","heat tolerant, drought tolerant","annual",""
"Glory Lemon","Begonia x hiemalis","Rieger Begonia","part sun to sun","12 - 18 inches","","","mounded","planting to frost","container","","","annual",""
"SunPatiens® Vigorous Coral","Impatiens x hybrida","","part sun to sun","24 - 36 inches","","","mounded","planting to frost","landscape","15 - 18 inches","","annual",""
"Jolly Good™","Clematis ","","part sun to sun","72 - 84 inches","","","climbing","summer","border, plant, container, landscape, specimen, or, focal, point","24 - 36 inches","","shrub","Prefers cool, moist, well-drained soils."
"Rainbow Rhythm™ 'Going Bananas'","Hemerocallis hybrid","Daylily","part sun to sun","19 - 22 inches","","","mounded","early summer, mid summer, late summer","landscape","18 - 24 inches","salt tolerant","perennial","Daylilies are tough, adaptable perennials that will grow in almost any soil from dry to moist and sand to clay."
"'Tuscan Sun'","Heliopsis ","Perennial Sunflower","sun","24 - 36 inches","butterflies","","upright","mid summer, late summer, early fall","container, cut, flower, landscape","","heat tolerant","perennial",""
"Shadowland™ 'Empress Wu'","Hosta hybrid","","part shade to shade","44 - 48 inches","","","mounded","early summer, mid summer","container, landscape","60 - 72 inches","","perennial","Hostas grow best in moist, well-drained, organically enriched soil and full to part shade."
"Shadowland™ 'Hudson Bay'","Hosta hybrid","","part shade to shade","22 - 26 inches","","","mounded","early summer","container, landscape","20 - 24 inches","","perennial","Hostas grow best in moist, well-drained, organically enriched soil and full to part shade."
"Shadowland™ 'Seducer'","Hosta hybrid","","part shade to shade","36 - 40 inches","","","mounded","late summer, early fall, mid fall, late fall","container, landscape","34 - 36 inches","","perennial","Hostas grow best in moist, well-drained, organically enriched soil and full to part shade."
"'Pardon My Purple'","Monarda didyma","Bee Balm","part sun to sun","10 - 12 inches","butterflies","deer","upright","mid summer, late summer","landscape","10 - 12 inches","","perennial","Prefers Rich, moist soil and full sun but also grows well in ordinary garden soil and part shade."
"Color Spires® 'Pink Dawn'","Salvia ","Perennial Salvia","sun","16 - 20 inches","bees, butterflies, hummingbirds","deer, rabbits","clump forming","early summer, late spring","border, plant, cut, flower, dried, flower, landscape, mass, planting","16 - 20 inches","","perennial",""
"Magic Show® 'Hocus Pocus'","Veronica hybrid","Spike Speedwell","part sun to sun","16 - 20 inches","butterflies, hummingbirds","deer","upright","early summer, mid summer","container, landscape","10 - 12 inches","salt tolerant","perennial","This plant grows best in average, humus enriched, well-drained soil and full sun."
"'Sweet Lullaby'","Veronica hybrid","Spike Speedwell","part sun to sun","4 - 6 inches","butterflies","deer","spreading","mid summer, late summer, early fall","container, landscape","10 - 12 inches","salt tolerant","perennial","This plant grows best in average, humus enriched, well-drained soil and full sun."
